school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
MS;M;21;R;GT3;T;3;4;health;at_home;reputation;other;2;1;0;no;no;no;yes;no;no;no;yes;4;5;4;3;3;5;69;7;8;0
GP;M;18;R;LE3;A;3;3;at_home;health;other;mother;2;3;1;no;yes;no;yes;yes;no;yes;yes;4;3;3;5;4;1;42;11;12;13
MS;F;16;U;GT3;T;0;3;teacher;teacher;other;mother;3;1;0;yes;no;no;no;no;yes;yes;no;5;2;2;2;1;5;48;7;9;7
MS;M;22;R;LE3;A;2;4;health;teacher;other;father;3;4;0;no;no;yes;no;no;yes;yes;no;5;3;5;3;3;1;50;11;9;7
GP;M;19;U;GT3;T;1;4;services;health;home;other;1;3;1;yes;no;yes;yes;no;no;no;yes;2;2;5;3;5;5;34;10;11;7
MS;M;16;R;LE3;T;1;3;other;services;home;father;1;3;0;no;no;no;no;no;yes;yes;no;1;5;5;3;5;2;8;6;8;6
GP;F;15;U;GT3;A;0;0;health;other;reputation;father;4;3;0;no;yes;no;yes;no;no;no;yes;3;2;4;4;2;3;12;12;15;12
GP;M;19;U;LE3;A;0;1;other;teacher;home;father;2;2;1;yes;yes;yes;yes;yes;no;yes;yes;3;2;2;5;3;2;14;9;11;8
GP;M;15;U;GT3;T;1;3;other;teacher;home;father;4;3;0;yes;no;yes;yes;no;no;yes;yes;4;4;4;1;4;4;9;11;13;14
MS;M;19;R;GT3;T;0;4;health;at_home;other;mother;4;3;1;no;no;yes;no;no;no;no;no;2;4;1;1;1;1;55;15;14;10
MS;F;21;R;GT3;T;2;4;services;services;home;other;2;2;0;yes;yes;no;no;yes;no;yes;no;5;5;5;5;1;5;34;12;13;8
MS;F;17;U;GT3;T;1;0;teacher;other;reputation;father;4;4;0;no;no;no;yes;yes;yes;yes;yes;1;3;4;4;4;5;56;8;8;8
GP;M;22;R;LE3;T;3;4;teacher;teacher;reputation;father;2;2;1;no;no;yes;yes;no;no;yes;yes;4;5;2;5;5;3;9;7;3;5
GP;M;21;R;GT3;A;0;3;teacher;services;reputation;other;4;3;0;yes;yes;no;no;yes;no;no;no;2;3;2;1;5;1;67;3;2;6
GP;F;16;U;GT3;T;1;4;health;teacher;reputation;other;4;4;1;no;no;no;yes;no;yes;no;no;3;3;5;1;3;5;9;10;11;9
GP;F;21;R;LE3;A;4;1;services;other;other;other;2;1;0;no;yes;yes;yes;yes;no;no;yes;3;3;3;4;4;3;6;8;11;11
MS;M;19;U;GT3;T;4;1;services;services;other;mother;1;3;0;no;yes;yes;no;no;yes;no;no;2;2;3;4;2;2;17;12;12;10
GP;M;17;R;LE3;T;1;4;health;at_home;home;father;3;2;2;no;no;yes;yes;no;no;yes;no;5;4;4;3;4;5;67;8;6;6
MS;F;22;R;LE3;T;2;0;health;services;other;other;2;4;0;yes;no;no;yes;no;yes;no;no;2;4;1;3;2;1;40;13;14;13
GP;F;19;R;LE3;A;3;4;teacher;teacher;home;father;2;2;0;no;yes;no;yes;no;yes;yes;yes;4;5;4;1;1;4;68;13;14;14
MS;F;20;U;GT3;T;0;4;services;teacher;home;father;4;1;0;no;no;yes;no;yes;no;yes;yes;5;3;2;1;3;5;43;9;11;8
MS;F;17;U;GT3;T;2;1;teacher;health;home;father;3;4;3;no;no;yes;yes;no;no;yes;no;3;1;3;4;4;4;49;9;5;2
MS;F;21;U;GT3;T;4;2;services;teacher;home;father;3;3;0;no;yes;no;no;no;yes;no;no;3;1;1;4;3;5;20;11;10;10
GP;F;16;U;GT3;A;3;4;teacher;other;reputation;other;4;3;0;yes;yes;no;no;no;no;yes;yes;1;2;4;5;4;5;15;10;5;13
MS;M;18;U;LE3;T;3;1;at_home;teacher;course;other;3;1;0;no;no;yes;yes;no;yes;yes;yes;2;2;4;1;3;5;73;8;4;4
GP;F;19;R;GT3;A;3;4;teacher;health;course;other;1;4;0;no;yes;yes;yes;no;yes;yes;yes;3;2;2;3;2;3;66;12;15;18
MS;F;19;U;LE3;T;1;4;other;services;home;mother;1;1;2;no;yes;no;yes;no;no;no;no;2;4;3;4;1;1;20;7;4;5
MS;M;20;R;LE3;A;4;4;teacher;services;reputation;father;1;3;0;yes;yes;yes;no;no;no;yes;yes;3;5;3;2;2;4;65;4;4;4
MS;M;18;U;GT3;T;0;2;at_home;other;other;father;1;1;0;no;no;no;no;yes;no;yes;yes;3;5;3;1;4;5;57;9;12;9
GP;F;16;R;GT3;A;4;2;health;health;other;other;1;1;0;no;no;no;yes;yes;no;no;yes;4;5;3;5;3;5;65;4;4;8
MS;M;16;R;GT3;T;4;3;services;other;reputation;other;1;4;0;no;yes;yes;yes;yes;yes;yes;no;3;4;2;4;2;4;64;7;13;9
GP;F;18;R;GT3;A;2;1;at_home;other;course;other;3;3;0;yes;yes;no;no;yes;no;no;yes;4;3;4;3;5;3;36;14;11;17
MS;F;19;U;GT3;T;2;3;services;at_home;reputation;mother;3;3;0;yes;yes;yes;yes;yes;yes;yes;no;3;4;1;2;1;5;20;6;6;3
GP;M;20;R;LE3;T;4;1;other;teacher;reputation;father;2;1;3;no;no;yes;no;yes;yes;no;yes;3;3;4;5;5;4;17;10;8;7
GP;M;19;U;LE3;A;2;4;health;health;other;father;3;1;0;yes;yes;yes;no;no;yes;yes;no;4;2;4;3;3;3;74;9;8;6
GP;F;22;R;LE3;A;4;2;teacher;services;course;other;2;2;2;no;yes;no;no;no;no;yes;yes;5;1;5;4;5;3;9;10;10;4
GP;F;17;R;GT3;T;1;4;at_home;teacher;other;mother;4;2;0;no;yes;no;no;yes;no;no;yes;2;5;1;1;4;3;8;8;13;6
MS;F;19;R;LE3;T;3;2;at_home;at_home;other;father;1;2;0;no;yes;yes;no;yes;yes;yes;yes;3;4;5;4;5;4;29;11;10;15
GP;F;21;U;LE3;T;0;0;other;teacher;other;other;1;2;0;no;no;yes;yes;yes;yes;no;yes;5;3;5;5;3;2;38;13;15;16
MS;F;17;R;GT3;T;2;3;other;services;other;father;2;3;0;no;yes;yes;no;yes;no;yes;no;4;5;5;2;4;2;32;13;14;10
GP;F;15;R;GT3;T;0;1;other;other;reputation;father;2;3;0;yes;yes;yes;yes;no;yes;yes;no;2;5;3;3;4;4;68;7;7;11
MS;F;22;R;LE3;A;2;3;teacher;other;reputation;other;2;1;0;no;no;yes;yes;no;yes;no;yes;4;5;3;3;4;4;58;14;14;14
MS;F;15;U;LE3;T;0;3;health;health;home;other;2;1;0;no;no;yes;no;no;yes;yes;no;1;1;5;3;5;3;2;5;2;7
GP;F;16;U;LE3;T;4;4;services;services;course;father;1;3;2;no;yes;yes;no;yes;yes;yes;no;4;4;5;4;1;1;21;16;12;10
GP;F;18;U;GT3;A;0;0;services;other;home;mother;3;1;2;yes;no;yes;no;yes;yes;no;no;4;2;1;5;3;1;12;5;0;3
MS;M;15;R;GT3;A;1;2;other;at_home;other;mother;4;1;1;no;yes;yes;yes;no;yes;no;yes;4;3;3;1;1;1;39;6;4;3
MS;M;21;U;LE3;T;2;4;teacher;other;course;father;1;3;0;yes;yes;yes;no;yes;yes;no;no;3;4;2;1;2;4;35;7;8;8
GP;M;18;R;LE3;T;2;0;at_home;services;other;father;4;3;0;yes;no;no;yes;no;no;yes;no;3;3;4;5;2;3;48;11;7;13
GP;F;15;R;LE3;A;2;0;at_home;at_home;reputation;other;3;2;0;yes;no;no;yes;no;no;no;no;5;1;3;5;5;1;13;8;9;13
GP;M;20;R;LE3;T;0;2;health;other;reputation;father;3;4;0;yes;no;yes;no;yes;no;no;yes;1;2;3;3;3;4;26;7;10;10
MS;M;16;R;LE3;T;0;2;teacher;health;reputation;other;2;2;0;no;no;yes;no;yes;yes;no;no;1;5;2;4;5;4;49;12;12;15
GP;F;17;R;GT3;T;3;0;services;at_home;course;other;4;4;0;no;no;no;yes;no;yes;yes;no;1;2;3;1;2;3;18;6;9;10
GP;M;17;U;GT3;A;1;1;services;at_home;home;father;1;4;0;no;no;no;no;no;no;no;yes;1;5;1;2;3;1;35;11;11;9
MS;F;16;R;GT3;T;3;4;health;at_home;home;other;2;3;1;yes;no;no;no;yes;no;yes;yes;2;5;3;5;4;2;17;8;11;7
MS;F;20;R;GT3;A;4;0;health;at_home;home;father;2;2;0;no;yes;no;no;yes;no;no;no;4;1;1;4;5;3;47;7;4;4
GP;M;20;U;GT3;T;3;1;at_home;services;course;father;3;2;0;no;no;yes;yes;yes;no;yes;yes;2;4;4;1;4;2;16;11;14;9
GP;M;19;U;GT3;T;0;3;services;health;other;other;1;1;0;no;yes;yes;yes;no;yes;yes;no;1;4;2;4;1;2;49;16;16;15
MS;F;21;U;LE3;T;4;4;teacher;other;reputation;father;3;2;0;yes;no;no;yes;yes;yes;yes;yes;5;4;3;4;3;2;31;10;8;9
MS;F;19;U;LE3;A;2;0;health;at_home;other;mother;2;4;0;yes;yes;no;no;yes;no;no;no;5;2;4;1;1;5;8;12;16;11
MS;M;21;R;GT3;T;4;4;other;health;course;mother;3;1;0;yes;yes;no;no;yes;no;no;yes;1;2;1;4;1;4;7;10;8;7
GP;F;17;R;GT3;A;1;2;health;services;home;mother;3;4;0;yes;no;yes;no;no;no;yes;no;5;2;3;2;3;1;73;8;10;9
GP;F;15;R;GT3;A;1;1;teacher;other;other;mother;3;2;0;no;no;yes;no;yes;yes;yes;yes;5;1;4;1;4;3;39;9;9;8
MS;F;22;R;GT3;T;4;1;health;teacher;other;mother;2;3;0;yes;no;yes;no;no;yes;yes;yes;4;4;1;2;3;1;5;14;14;16
MS;M;16;U;LE3;A;0;4;other;teacher;other;other;2;2;0;no;no;no;no;no;no;yes;yes;2;2;5;1;2;1;21;7;9;9
GP;M;19;R;GT3;T;0;1;services;other;home;mother;3;2;0;yes;no;no;yes;no;no;yes;yes;4;4;5;5;2;1;59;15;15;14
GP;F;18;R;GT3;T;4;4;services;teacher;home;mother;2;4;1;yes;no;yes;yes;no;yes;yes;no;4;4;1;4;4;2;45;11;9;13
GP;F;19;R;GT3;A;0;0;services;at_home;reputation;father;2;2;0;yes;no;no;no;no;no;no;no;3;2;1;3;5;2;3;12;19;17
MS;F;17;U;LE3;T;2;4;teacher;health;other;father;2;2;0;no;no;yes;no;yes;yes;no;no;2;4;1;1;1;2;28;13;12;16
GP;M;17;R;LE3;T;1;4;health;teacher;course;mother;3;4;0;no;no;no;yes;yes;no;no;no;2;5;5;3;2;5;22;8;7;9
GP;M;15;U;GT3;T;4;0;at_home;health;course;other;1;2;0;no;yes;yes;no;no;yes;no;yes;2;1;3;3;1;1;6;7;9;6
MS;M;20;R;LE3;A;4;1;health;at_home;home;mother;3;1;0;yes;yes;no;yes;no;yes;yes;yes;3;5;5;4;1;4;21;6;9;8
GP;M;19;R;GT3;T;0;0;at_home;other;other;mother;1;3;0;yes;no;no;yes;yes;yes;yes;yes;3;1;4;1;3;4;60;5;8;7
GP;M;21;R;LE3;A;0;2;at_home;at_home;course;mother;3;1;0;yes;yes;no;no;yes;yes;no;no;5;4;5;2;4;3;10;7;7;6
GP;F;22;U;LE3;T;1;1;teacher;at_home;home;other;4;2;3;yes;no;no;yes;yes;no;no;no;3;5;4;1;5;5;66;9;7;6
GP;F;16;R;GT3;A;2;3;at_home;other;other;mother;2;3;0;no;yes;no;no;yes;yes;no;no;3;1;3;3;3;3;62;11;14;12
MS;M;20;R;GT3;T;1;3;health;at_home;other;other;3;1;0;yes;yes;no;no;yes;yes;yes;yes;2;1;2;1;4;1;46;8;10;6
GP;F;18;R;GT3;A;1;3;other;other;course;father;2;3;0;yes;no;yes;no;yes;yes;yes;yes;2;2;3;4;5;1;1;8;10;13
GP;M;19;R;GT3;A;2;3;services;health;other;father;4;1;0;no;no;no;yes;no;yes;no;no;3;3;3;3;2;2;66;7;11;6
MS;M;17;U;GT3;A;2;3;at_home;at_home;home;other;2;3;0;yes;no;no;no;yes;yes;no;yes;4;2;3;5;2;3;11;11;12;10
MS;M;19;R;GT3;T;3;0;other;other;home;father;2;1;1;no;no;no;yes;yes;yes;yes;no;4;5;4;2;3;2;10;5;5;6
GP;M;19;U;LE3;T;3;0;health;other;other;other;4;4;0;no;no;yes;yes;yes;no;yes;no;5;2;1;1;2;2;44;10;9;10
GP;F;19;R;GT3;A;3;1;services;at_home;course;mother;2;4;0;yes;yes;yes;yes;yes;yes;no;yes;4;3;5;5;1;5;6;5;11;9
MS;M;21;U;GT3;A;1;1;teacher;services;other;other;1;3;0;yes;no;yes;yes;no;yes;yes;no;2;5;2;3;5;2;45;8;11;10
GP;M;20;U;LE3;T;0;0;other;at_home;reputation;mother;1;1;2;yes;no;no;no;no;yes;yes;yes;1;3;3;3;4;1;12;11;11;10
GP;M;20;R;GT3;T;2;2;health;teacher;other;father;4;3;1;no;no;yes;yes;yes;yes;yes;yes;4;5;4;5;4;2;48;8;12;6
GP;M;22;U;GT3;A;0;0;services;services;home;other;2;3;0;yes;no;yes;no;no;no;yes;yes;1;2;5;4;4;2;9;8;10;12
GP;M;21;U;LE3;A;3;4;at_home;teacher;other;father;3;1;3;yes;yes;no;no;yes;yes;yes;no;5;5;2;4;3;3;6;9;6;9
MS;M;22;U;LE3;T;0;2;services;services;course;other;1;1;1;no;yes;no;yes;no;yes;yes;yes;4;2;4;2;3;1;53;14;12;10
MS;M;17;R;LE3;T;4;3;other;at_home;reputation;other;2;2;0;no;no;no;yes;no;no;no;no;4;2;2;4;5;5;38;10;11;15
GP;F;18;R;GT3;T;1;4;other;services;home;father;4;4;0;no;no;yes;yes;yes;no;yes;yes;1;2;3;2;3;3;18;10;12;17
GP;M;22;U;LE3;A;1;4;services;teacher;other;father;4;3;2;yes;yes;no;yes;no;yes;no;yes;2;3;4;2;1;2;22;9;8;7
MS;F;17;R;LE3;A;3;1;teacher;health;course;other;1;3;0;no;yes;no;yes;yes;yes;yes;no;5;5;4;1;3;2;27;7;8;14
MS;F;16;R;GT3;T;4;4;health;teacher;course;father;1;4;0;no;yes;no;no;no;yes;no;yes;3;5;1;1;2;5;68;11;11;8
MS;F;18;R;LE3;T;0;3;services;teacher;home;mother;1;2;1;yes;yes;no;no;no;no;no;no;3;1;4;1;5;1;8;8;9;8
GP;M;19;U;GT3;A;3;3;teacher;at_home;reputation;other;2;2;0;no;yes;no;no;yes;yes;yes;yes;1;5;5;4;5;5;10;10;10;8
MS;F;17;U;LE3;A;1;0;health;other;home;other;4;1;0;yes;no;yes;yes;no;no;no;yes;2;1;3;5;1;2;40;7;6;4
GP;M;20;R;LE3;T;2;1;health;at_home;course;father;2;3;1;no;no;no;no;no;yes;yes;yes;3;2;5;2;3;1;9;12;12;11
MS;F;15;R;GT3;T;2;3;health;other;course;mother;4;1;0;yes;yes;yes;yes;no;yes;yes;yes;4;3;1;2;4;2;8;10;9;8
MS;M;22;R;LE3;T;2;0;other;services;course;other;2;4;0;no;yes;no;no;yes;no;no;no;4;4;5;1;5;2;56;11;11;10
GP;F;20;U;LE3;A;2;0;at_home;at_home;other;mother;2;4;0;yes;yes;yes;yes;yes;yes;yes;yes;3;2;5;4;5;5;2;11;16;11
GP;M;22;R;LE3;T;3;4;health;other;reputation;other;3;2;0;no;no;yes;yes;no;no;yes;yes;1;2;5;5;4;2;12;15;10;11
GP;F;22;U;LE3;A;4;3;services;teacher;other;mother;4;4;0;yes;no;yes;no;no;yes;yes;no;5;5;4;3;2;1;0;8;12;10
MS;M;20;U;LE3;A;4;2;services;other;other;other;3;3;3;no;yes;no;no;yes;no;no;no;3;5;3;4;2;1;29;6;2;1
MS;M;15;U;GT3;T;0;1;at_home;other;other;mother;1;3;0;yes;yes;no;no;no;yes;yes;no;4;1;2;5;3;2;4;9;10;9
GP;M;18;U;LE3;T;2;3;services;at_home;other;other;2;1;0;yes;yes;no;no;no;no;yes;yes;4;4;5;1;3;2;52;6;5;5
GP;M;19;R;GT3;A;1;2;at_home;at_home;home;father;1;3;0;yes;yes;no;no;no;yes;no;yes;3;1;4;3;1;5;22;7;9;7
GP;M;18;U;LE3;A;1;1;health;health;course;mother;1;1;2;no;yes;yes;no;no;no;no;no;4;2;5;3;4;2;73;13;6;9
GP;M;21;U;GT3;T;4;3;services;teacher;home;other;2;4;0;no;no;no;yes;no;yes;no;no;5;3;3;2;4;4;26;6;5;8
MS;F;17;U;LE3;A;1;4;at_home;at_home;reputation;mother;2;4;1;yes;no;no;yes;no;no;no;no;5;5;1;4;1;2;7;11;10;9
MS;M;20;R;GT3;A;0;3;teacher;services;reputation;other;2;3;0;no;no;yes;no;no;no;yes;yes;3;4;5;5;4;1;10;12;11;13
MS;M;19;R;GT3;A;3;1;health;teacher;reputation;other;2;3;2;yes;yes;yes;no;yes;yes;yes;no;5;1;1;4;5;1;13;10;6;3
MS;F;18;R;GT3;T;1;4;health;teacher;home;other;3;3;1;no;no;no;yes;yes;no;no;no;3;4;5;2;1;4;39;9;7;7
GP;M;19;R;LE3;A;3;2;teacher;at_home;course;other;2;1;0;yes;no;no;no;yes;yes;no;no;2;3;1;4;2;5;34;11;9;6
GP;F;17;R;LE3;A;4;3;services;other;other;mother;3;1;0;yes;yes;yes;no;no;yes;no;yes;2;1;2;1;4;2;43;6;4;5
GP;M;16;U;LE3;A;3;0;other;at_home;reputation;mother;3;4;1;yes;yes;no;no;yes;yes;yes;no;1;5;2;4;4;3;41;14;12;9
GP;M;22;R;LE3;A;0;1;teacher;health;other;father;1;2;1;yes;no;yes;yes;yes;no;yes;no;1;2;2;4;1;5;43;17;17;16
GP;F;17;R;LE3;A;4;2;at_home;health;home;other;4;3;0;no;yes;no;no;no;no;yes;yes;5;3;3;4;3;5;70;13;10;13
MS;M;15;R;LE3;T;4;2;other;health;course;other;1;4;0;no;yes;no;no;no;no;yes;yes;5;1;1;2;2;1;25;12;14;13
MS;M;19;U;GT3;T;4;0;teacher;health;other;mother;4;1;0;no;no;yes;no;yes;yes;no;yes;2;5;1;1;2;5;49;13;11;13
GP;M;16;R;GT3;A;0;1;health;other;other;other;3;2;0;no;no;no;no;no;no;no;no;5;2;5;5;2;4;70;11;14;11
MS;F;15;R;LE3;T;2;0;services;health;reputation;father;1;3;2;yes;yes;yes;no;no;yes;yes;no;3;5;2;2;3;3;11;5;4;4
MS;M;17;R;LE3;A;0;4;at_home;teacher;home;father;3;4;0;yes;yes;yes;no;yes;no;yes;no;5;5;2;3;5;2;19;15;14;17
GP;F;21;R;GT3;T;1;2;teacher;at_home;home;other;4;3;0;no;yes;yes;no;yes;no;no;yes;5;5;5;2;2;1;34;9;11;10
MS;M;20;R;LE3;A;2;4;teacher;services;reputation;father;4;2;0;yes;yes;no;yes;yes;yes;yes;yes;5;2;3;1;3;1;39;9;10;12
GP;M;22;U;LE3;A;4;4;teacher;services;reputation;mother;3;2;1;no;yes;no;yes;yes;no;no;no;1;1;3;4;2;4;65;11;9;12
GP;F;18;R;LE3;T;1;4;services;services;other;father;2;1;0;no;no;no;yes;no;yes;no;no;1;5;3;2;2;3;50;8;6;12
GP;M;18;U;GT3;A;4;2;at_home;other;reputation;mother;2;2;1;no;yes;no;yes;yes;no;yes;yes;2;3;2;1;3;4;52;10;8;3
MS;F;18;U;LE3;T;0;4;other;services;reputation;other;2;2;0;no;yes;no;yes;no;no;yes;no;4;4;2;2;2;2;4;5;7;2
GP;F;18;U;LE3;A;4;3;services;at_home;reputation;father;4;1;0;no;no;no;yes;yes;no;no;yes;2;5;5;4;1;5;49;5;7;5
MS;M;19;R;LE3;A;2;4;teacher;other;reputation;father;4;1;0;yes;yes;yes;no;no;no;no;yes;2;4;5;2;4;1;32;9;8;6
GP;F;16;R;GT3;T;4;3;other;other;reputation;father;4;1;1;no;yes;yes;yes;yes;yes;no;no;3;4;3;2;1;2;25;15;15;13
MS;F;22;U;LE3;A;3;3;at_home;teacher;home;mother;3;2;0;yes;yes;no;yes;yes;yes;no;no;1;1;1;4;2;2;36;4;4;4
GP;M;20;U;LE3;A;2;2;at_home;teacher;other;other;1;3;0;yes;no;no;no;yes;yes;yes;yes;5;5;1;4;5;3;54;7;4;7
MS;F;22;R;GT3;T;4;1;services;health;home;mother;1;4;0;yes;yes;no;no;yes;no;no;yes;1;2;3;3;1;3;38;7;10;8
MS;M;15;U;LE3;A;2;3;at_home;teacher;reputation;father;2;4;1;no;no;no;yes;no;no;yes;yes;5;3;3;1;2;3;3;9;7;8
MS;F;16;R;GT3;T;2;3;teacher;at_home;reputation;father;4;3;0;no;yes;yes;no;yes;yes;yes;no;5;1;4;5;2;2;43;13;12;14
GP;F;17;U;LE3;A;3;4;teacher;teacher;course;mother;1;3;0;yes;yes;no;yes;no;yes;no;yes;2;3;3;5;3;4;15;10;13;14
GP;F;20;R;GT3;T;2;4;health;health;home;father;3;4;0;yes;no;yes;yes;no;yes;yes;no;4;2;5;5;4;5;45;10;8;6
GP;M;17;U;GT3;T;3;2;at_home;at_home;reputation;mother;2;3;2;no;yes;no;no;no;no;yes;yes;4;1;3;4;4;2;36;8;8;7
GP;M;16;R;GT3;A;4;3;health;other;reputation;other;2;4;0;no;yes;no;no;no;yes;yes;yes;5;4;1;5;5;4;41;3;7;10
GP;F;21;R;GT3;T;0;1;health;other;home;mother;2;4;0;no;no;yes;yes;no;no;no;no;3;1;5;1;5;5;51;10;17;16
GP;F;20;U;GT3;T;1;3;other;at_home;course;other;4;4;0;yes;yes;no;yes;yes;no;no;no;2;3;2;2;1;1;2;16;12;11
GP;F;17;R;GT3;A;4;1;at_home;other;other;other;4;4;0;yes;no;yes;no;yes;no;no;no;1;1;5;4;3;1;74;5;8;8
MS;M;16;U;LE3;A;0;4;other;services;home;father;1;4;0;no;no;no;no;no;no;yes;yes;5;3;5;3;1;4;74;10;14;10
GP;M;22;U;LE3;T;2;2;health;other;course;father;3;1;0;yes;yes;no;no;yes;no;yes;no;2;5;1;3;1;2;19;10;11;13
MS;F;18;R;LE3;A;0;0;health;at_home;other;father;3;4;0;yes;no;no;no;no;yes;no;yes;3;4;4;3;5;1;12;12;16;14
MS;M;19;R;LE3;A;4;3;at_home;health;reputation;other;3;2;0;yes;yes;yes;yes;no;yes;yes;no;3;2;3;3;2;1;3;8;7;7
GP;F;16;U;LE3;A;4;1;teacher;health;course;father;4;1;0;no;no;no;no;yes;yes;no;yes;4;4;3;1;3;3;22;7;8;5
GP;M;16;U;GT3;T;4;0;at_home;services;home;mother;1;1;0;no;no;yes;no;yes;yes;yes;no;3;2;3;4;5;1;65;6;7;8
GP;F;15;R;GT3;T;4;4;services;services;course;father;1;1;0;no;yes;no;no;yes;yes;yes;no;2;3;4;1;3;4;10;11;12;13
GP;F;22;R;LE3;A;3;4;at_home;teacher;home;father;1;3;1;yes;no;yes;yes;no;yes;yes;yes;1;2;4;1;4;5;5;12;11;9
MS;F;22;U;LE3;T;0;3;other;other;reputation;mother;2;4;0;no;no;yes;yes;no;yes;yes;yes;3;1;1;3;2;4;21;6;6;12
GP;F;16;R;LE3;T;3;0;teacher;teacher;reputation;mother;3;4;0;no;yes;yes;yes;no;no;no;yes;2;5;1;5;2;4;11;4;7;8
GP;F;16;U;GT3;T;3;1;services;teacher;reputation;mother;2;4;0;yes;yes;yes;no;no;yes;no;no;3;5;4;1;1;1;68;14;12;13
GP;M;20;R;LE3;A;1;0;services;health;home;mother;4;2;0;yes;yes;no;no;yes;no;yes;yes;5;4;2;4;3;2;58;7;10;8
GP;F;15;R;LE3;T;3;3;at_home;health;course;mother;3;2;1;yes;yes;yes;no;no;yes;no;no;3;1;4;2;2;3;55;2;2;1
GP;M;15;U;GT3;T;3;4;at_home;at_home;home;father;4;2;0;yes;no;yes;yes;no;no;yes;yes;1;4;3;2;4;5;74;13;14;8
